Pitcher: 519293 | FF: 66 | SL: 84 | CU: 24 | CH: 0 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 554340 | FF: 63 | SL: 29 | CU: 53 | CH: 6 | FS: 0 | SI: 40 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 554431 | FF: 161 | SL: 88 | CU: 0 | CH: 0 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 519151 | FF: 68 | SL: 48 | CU: 41 | CH: 0 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 592773 | FF: 99 | SL: 70 | CU: 0 | CH: 0 | FS: 29 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 608331 | FF: 155 | SL: 101 | CU: 95 | CH: 24 | FS: 0 | SI: 37 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 664208 | FF: 100 | SL: 59 | CU: 54 | CH: 0 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 642130 | FF: 57 | SL: 23 | CU: 0 | CH: 0 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 664299 | FF: 149 | SL: 100 | CU: 0 | CH: 0 | FS: 0 | SI: 0 | KC: 10 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 548384 | FF: 7 | SL: 46 | CU: 17 | CH: 0 | FS: 0 | SI: 20 | KC: 0 | FC: 44 | CS: 0 | None: 0 | 
Pitcher: 677651 | FF: 157 | SL: 30 | CU: 12 | CH: 22 | FS: 0 | SI: 0 | KC: 0 | FC: 70 | CS: 0 | None: 0 | 
Pitcher: 608665 | FF: 54 | SL: 39 | CU: 16 | CH: 1 | FS: 0 | SI: 113 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 592767 | FF: 0 | SL: 0 | CU: 0 | CH: 0 | FS: 0 | SI: 37 | KC: 101 | FC: 34 | CS: 0 | None: 0 | 
Pitcher: 455119 | FF: 24 | SL: 5 | CU: 0 | CH: 0 | FS: 11 | SI: 9 | KC: 0 | FC: 26 | CS: 0 | None: 0 | 
Pitcher: 621345 | FF: 67 | SL: 0 | CU: 0 | CH: 23 | FS: 0 | SI: 0 | KC: 0 | FC: 124 | CS: 0 | None: 0 | 
Pitcher: 664353 | FF: 120 | SL: 45 | CU: 22 | CH: 42 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 445926 | FF: 0 | SL: 5 | CU: 0 | CH: 13 | FS: 0 | SI: 34 | KC: 0 | FC: 59 | CS: 0 | None: 0 | 
Pitcher: 664285 | FF: 5 | SL: 0 | CU: 138 | CH: 42 | FS: 0 | SI: 222 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 656353 | FF: 21 | SL: 24 | CU: 8 | CH: 0 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 592426 | FF: 48 | SL: 92 | CU: 19 | CH: 0 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 657140 | FF: 11 | SL: 0 | CU: 35 | CH: 4 | FS: 0 | SI: 37 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 425844 | FF: 56 | SL: 23 | CU: 12 | CH: 50 | FS: 0 | SI: 3 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 669276 | FF: 54 | SL: 10 | CU: 5 | CH: 26 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 666120 | FF: 118 | SL: 0 | CU: 53 | CH: 109 | FS: 0 | SI: 1 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 543606 | FF: 106 | SL: 11 | CU: 8 | CH: 0 | FS: 38 | SI: 0 | KC: 0 | FC: 30 | CS: 0 | None: 0 | 
Pitcher: 450203 | FF: 121 | SL: 0 | CU: 134 | CH: 21 | FS: 0 | SI: 49 | KC: 0 | FC: 12 | CS: 0 | None: 0 | 
Pitcher: 445276 | FF: 0 | SL: 23 | CU: 0 | CH: 0 | FS: 0 | SI: 34 | KC: 0 | FC: 64 | CS: 0 | None: 0 | 
Pitcher: 608349 | FF: 62 | SL: 0 | CU: 0 | CH: 0 | FS: 0 | SI: 0 | KC: 41 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 595014 | FF: 18 | SL: 50 | CU: 0 | CH: 1 | FS: 0 | SI: 46 | KC: 0 | FC: 25 | CS: 0 | None: 0 | 
Pitcher: 681911 | FF: 78 | SL: 24 | CU: 0 | CH: 8 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 660813 | FF: 3 | SL: 23 | CU: 0 | CH: 0 | FS: 0 | SI: 73 | KC: 0 | FC: 19 | CS: 0 | None: 0 | 
Pitcher: 621111 | FF: 168 | SL: 44 | CU: 0 | CH: 28 | FS: 0 | SI: 27 | KC: 52 | FC: 83 | CS: 0 | None: 0 | 
Pitcher: 493603 | FF: 34 | SL: 28 | CU: 0 | CH: 0 | FS: 0 | SI: 26 | KC: 0 | FC: 3 | CS: 0 | None: 0 | 
Pitcher: 656557 | FF: 67 | SL: 88 | CU: 0 | CH: 0 | FS: 14 | SI: 31 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 657031 | FF: 14 | SL: 28 | CU: 1 | CH: 0 | FS: 0 | SI: 13 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 543135 | FF: 136 | SL: 37 | CU: 62 | CH: 0 | FS: 57 | SI: 0 | KC: 0 | FC: 32 | CS: 0 | None: 0 | 
Pitcher: 657097 | FF: 32 | SL: 0 | CU: 6 | CH: 44 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 623465 | FF: 30 | SL: 31 | CU: 0 | CH: 6 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 523260 | FF: 1 | SL: 0 | CU: 0 | CH: 21 | FS: 0 | SI: 43 | KC: 59 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 664062 | FF: 20 | SL: 25 | CU: 2 | CH: 0 | FS: 22 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 677865 | FF: 0 | SL: 18 | CU: 0 | CH: 0 | FS: 0 | SI: 4 | KC: 0 | FC: 28 | CS: 0 | None: 0 | 
Pitcher: 641360 | FF: 58 | SL: 39 | CU: 0 | CH: 0 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 628711 | FF: 125 | SL: 0 | CU: 135 | CH: 65 | FS: 0 | SI: 4 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 527048 | FF: 10 | SL: 0 | CU: 2 | CH: 10 | FS: 0 | SI: 23 | KC: 0 | FC: 17 | CS: 0 | None: 0 | 
Pitcher: 617228 | FF: 31 | SL: 9 | CU: 0 | CH: 0 | FS: 20 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 650382 | FF: 41 | SL: 10 | CU: 3 | CH: 0 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 570663 | FF: 77 | SL: 24 | CU: 0 | CH: 21 | FS: 0 | SI: 1 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 518489 | FF: 70 | SL: 31 | CU: 0 | CH: 0 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 519242 | FF: 126 | SL: 89 | CU: 0 | CH: 9 | FS: 0 | SI: 16 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 676477 | FF: 13 | SL: 21 | CU: 0 | CH: 23 | FS: 0 | SI: 52 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 601713 | FF: 124 | SL: 36 | CU: 0 | CH: 4 | FS: 0 | SI: 0 | KC: 55 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 593958 | FF: 143 | SL: 20 | CU: 0 | CH: 55 | FS: 0 | SI: 42 | KC: 0 | FC: 57 | CS: 0 | None: 0 | 
Pitcher: 453286 | FF: 126 | SL: 71 | CU: 24 | CH: 44 | FS: 0 | SI: 0 | KC: 0 | FC: 31 | CS: 0 | None: 0 | 
