Pitcher: Will Smith | ID: 519293 | FF: 570 | SL: 524 | CU: 146 | SI: 0 | CH: 0 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Tyler Matzek | ID: 554431 | FF: 896 | SL: 366 | CU: 27 | SI: 0 | CH: 0 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Max Fried | ID: 608331 | FF: 1139 | SL: 655 | CU: 748 | SI: 326 | CH: 79 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Drew Smyly | ID: 592767 | FF: 0 | SL: 0 | CU: 0 | SI: 995 | CH: 0 | KC: 975 | FC: 276 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: A. j. Minter | ID: 621345 | FF: 430 | SL: 0 | CU: 0 | SI: 0 | CH: 136 | KC: 0 | FC: 497 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Jesse Chavez | ID: 445926 | FF: 18 | SL: 59 | CU: 0 | SI: 211 | CH: 57 | KC: 0 | FC: 263 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Tucker Davidson | ID: 656353 | FF: 168 | SL: 144 | CU: 36 | SI: 2 | CH: 2 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Kyle Wright | ID: 657140 | FF: 73 | SL: 61 | CU: 67 | SI: 82 | CH: 16 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Luke Jackson | ID: 592426 | FF: 418 | SL: 650 | CU: 134 | SI: 0 | CH: 0 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Ian Anderson | ID: 666120 | FF: 1171 | SL: 0 | CU: 531 | SI: 7 | CH: 809 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Dylan Lee | ID: 669276 | FF: 54 | SL: 10 | CU: 5 | SI: 0 | CH: 26 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Charlie Morton | ID: 450203 | FF: 1169 | SL: 0 | CU: 1208 | SI: 446 | CH: 176 | KC: 0 | FC: 264 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Adam Ottavino | ID: 493603 | FF: 259 | SL: 546 | CU: 24 | SI: 332 | CH: 19 | KC: 0 | FC: 22 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Tanner Houck | ID: 656557 | FF: 493 | SL: 486 | CU: 0 | SI: 208 | CH: 0 | KC: 0 | FC: 0 | FS: 93 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Nathan Eovaldi | ID: 543135 | FF: 1369 | SL: 438 | CU: 610 | SI: 0 | CH: 0 | KC: 0 | FC: 398 | FS: 427 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Martin Perez | ID: 527048 | FF: 249 | SL: 0 | CU: 158 | SI: 484 | CH: 457 | KC: 0 | FC: 548 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Hirokazu Sawamura | ID: 617228 | FF: 457 | SL: 155 | CU: 0 | SI: 0 | CH: 0 | KC: 0 | FC: 0 | FS: 394 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Ryan Brasier | ID: 518489 | FF: 179 | SL: 71 | CU: 11 | SI: 0 | CH: 0 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Chris Sale | ID: 519242 | FF: 438 | SL: 296 | CU: 0 | SI: 28 | CH: 148 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Garrett Whitlock | ID: 676477 | FF: 120 | SL: 209 | CU: 0 | SI: 652 | CH: 258 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Nick Pivetta | ID: 601713 | FF: 1533 | SL: 629 | CU: 0 | SI: 2 | CH: 79 | KC: 700 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Hansel Robles | ID: 570663 | FF: 725 | SL: 202 | CU: 1 | SI: 9 | CH: 388 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Eduardo Rodriguez | ID: 593958 | FF: 1181 | SL: 235 | CU: 0 | SI: 336 | CH: 654 | KC: 0 | FC: 520 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Darwinzon Hernandez | ID: 650382 | FF: 566 | SL: 162 | CU: 44 | SI: 7 | CH: 0 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Liam Hendriks | ID: 521230 | FF: 790 | SL: 243 | CU: 110 | SI: 0 | CH: 1 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Aaron Bummer | ID: 607481 | FF: 0 | SL: 302 | CU: 0 | SI: 623 | CH: 6 | KC: 0 | FC: 85 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Ryan Tepera | ID: 572193 | FF: 337 | SL: 453 | CU: 5 | SI: 103 | CH: 104 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Michael Kopech | ID: 656629 | FF: 772 | SL: 355 | CU: 39 | SI: 0 | CH: 29 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Carlos Rodon | ID: 607074 | FF: 1355 | SL: 636 | CU: 39 | SI: 0 | CH: 288 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Craig Kimbrel | ID: 518886 | FF: 616 | SL: 0 | CU: 0 | SI: 0 | CH: 0 | KC: 417 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Dylan Cease | ID: 656302 | FF: 1435 | SL: 948 | CU: 0 | SI: 0 | CH: 225 | KC: 465 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Garrett Crochet | ID: 676979 | FF: 625 | SL: 279 | CU: 0 | SI: 0 | CH: 72 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Lucas Giolito | ID: 608337 | FF: 1385 | SL: 684 | CU: 85 | SI: 0 | CH: 993 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Reynaldo Lopez | ID: 625643 | FF: 588 | SL: 333 | CU: 53 | SI: 0 | CH: 55 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Lance Lynn | ID: 458681 | FF: 1080 | SL: 0 | CU: 77 | SI: 500 | CH: 116 | KC: 0 | FC: 796 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Lou Trivino | ID: 642152 | FF: 305 | SL: 0 | CU: 134 | SI: 380 | CH: 144 | KC: 0 | FC: 191 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Sam Moll | ID: 594580 | FF: 1 | SL: 79 | CU: 0 | SI: 96 | CH: 0 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: James Kaprielian | ID: 621076 | FF: 1069 | SL: 349 | CU: 164 | SI: 122 | CH: 315 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Paul Blackburn | ID: 621112 | FF: 44 | SL: 0 | CU: 82 | SI: 282 | CH: 97 | KC: 0 | FC: 172 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Matt Wisler | ID: 605538 | FF: 74 | SL: 730 | CU: 0 | SI: 0 | CH: 0 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Ryan Yarbrough | ID: 642232 | FF: 8 | SL: 0 | CU: 439 | SI: 331 | CH: 693 | KC: 0 | FC: 993 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Collin Mchugh | ID: 543521 | FF: 112 | SL: 553 | CU: 31 | SI: 0 | CH: 1 | KC: 0 | FC: 341 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
