Pitcher: Ryan Pressly | ID: 519151 | CU: 1244 | CH: 32 | SL: 1388 | FF: 1663 | FS: 0 | SI: 39 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Justin Verlander | ID: 434378 | CU: 1722 | CH: 281 | SL: 2745 | FF: 5609 | FS: 0 | SI: 0 | FC: 20 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: James Karinchak | ID: 675916 | CU: 913 | CH: 4 | SL: 1 | FF: 1473 | FS: 0 | SI: 0 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Trevor Stephan | ID: 663986 | CU: 0 | CH: 0 | SL: 683 | FF: 1283 | FS: 406 | SI: 0 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Logan Gilbert | ID: 669302 | CU: 0 | CH: 407 | SL: 1245 | FF: 2957 | FS: 0 | SI: 45 | FC: 0 | KC: 547 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Ryan Helsley | ID: 664854 | CU: 253 | CH: 60 | SL: 871 | FF: 1487 | FS: 0 | SI: 17 | FC: 45 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Jordan Hicks | ID: 663855 | CU: 0 | CH: 56 | SL: 791 | FF: 36 | FS: 0 | SI: 2148 | FC: 36 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Chris Stratton | ID: 608717 | CU: 1326 | CH: 639 | SL: 1038 | FF: 3386 | FS: 0 | SI: 229 | FC: 74 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Adam Wainwright | ID: 425794 | CU: 3826 | CH: 543 | SL: 0 | FF: 1178 | FS: 0 | SI: 3022 | FC: 2529 | KC: 0 | FA: 0 | CS: 50 | nan: 0 | EP: 8 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Génesis Cabrera | ID: 650893 | CU: 682 | CH: 467 | SL: 7 | FF: 1252 | FS: 0 | SI: 414 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Jordan Montgomery | ID: 656756 | CU: 1593 | CH: 1574 | SL: 42 | FF: 1193 | FS: 0 | SI: 1881 | FC: 525 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Andre Pallante | ID: 669467 | CU: 301 | CH: 1 | SL: 355 | FF: 989 | FS: 0 | SI: 165 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Dakota Hudson | ID: 641712 | CU: 776 | CH: 194 | SL: 1604 | FF: 993 | FS: 0 | SI: 2768 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Matt Festa | ID: 670036 | CU: 34 | CH: 0 | SL: 750 | FF: 666 | FS: 0 | SI: 37 | FC: 3 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
