Aroldis Chapman 
Jacob deGrom
Nick Anderson
Kenley Jansen
Blake Snell

Hyun Jin Ryu
Zach Eflin
Julio Urías 
Adam Wainwright
Aaron Nola
Ryan Yarbrough
Martín Pérez 

Dennis Santana 
José Alvarado
Trevor Richards
Josh Sborz 

Spencer Howard
Martín Pérez
Dane Dunning
Glenn Otto
Brock Burke
Cole Ragans
Taylor Hearn
Brett Martin
Jesus Tinoco
Jon Gray
Kolby Allard
Matt Moore
John King
Joe Barlow
José Leclerc

Gerrit Cole
Max Scherzer 
Clayton Kershaw 
Justin Verlander
Corbin Burnes
Shane Bieber
Walker Buehler
Josh Hader
Liam Hendriks
Edwin Díaz
Carlos Rodón
Robbie Ray

